2025-10-30 22:46:49,565 - INFO - Model info: {'total_parameters': 25557032, 'trainable_parameters': 25557032, 'model_size_mb': 97.49234008789062}
2025-10-30 22:46:52,608 - INFO - Step 0: {'train_loss_batch': 7.085630416870117, 'train_lr': 0.1, 'batch_time': 3.0360493659973145, 'data_time': 1.6995127201080322}
2025-10-30 22:47:42,068 - INFO - Step 100: {'train_loss_batch': 6.9125142097473145, 'train_lr': 0.1, 'batch_time': 0.5198079807923572, 'data_time': 0.017873093633368465}
2025-10-30 22:48:31,609 - INFO - Step 200: {'train_loss_batch': 6.904049873352051, 'train_lr': 0.1, 'batch_time': 0.5076692211094187, 'data_time': 0.009461419499335598}
2025-10-30 22:49:21,131 - INFO - Step 300: {'train_loss_batch': 6.90821647644043, 'train_lr': 0.1, 'batch_time': 0.5035346496936887, 'data_time': 0.0066460200718470985}
2025-10-30 22:50:11,193 - INFO - Step 400: {'train_loss_batch': 6.900728225708008, 'train_lr': 0.1, 'batch_time': 0.5028064851451693, 'data_time': 0.00638171324408857}
2025-10-30 22:51:00,715 - INFO - Step 500: {'train_loss_batch': 6.90116548538208, 'train_lr': 0.1, 'batch_time': 0.5012919779071313, 'data_time': 0.005304764844700248}
2025-10-30 22:51:50,247 - INFO - Step 600: {'train_loss_batch': 6.904446125030518, 'train_lr': 0.1, 'batch_time': 0.5002982921885968, 'data_time': 0.00459016500019194}
2025-10-30 22:52:40,295 - INFO - Step 700: {'train_loss_batch': 6.894151210784912, 'train_lr': 0.1, 'batch_time': 0.5003231592083114, 'data_time': 0.004752386313532287}
2025-10-30 22:53:30,564 - INFO - Step 800: {'train_loss_batch': 6.914898872375488, 'train_lr': 0.1, 'batch_time': 0.5006188411688834, 'data_time': 0.005158070470212253}
2025-10-30 22:54:20,829 - INFO - Step 900: {'train_loss_batch': 6.9210286140441895, 'train_lr': 0.1, 'batch_time': 0.5008441970562697, 'data_time': 0.005454845354374452}
2025-10-30 22:55:10,793 - INFO - Step 1000: {'train_loss_batch': 6.872913837432861, 'train_lr': 0.1, 'batch_time': 0.5007238650059962, 'data_time': 0.005327392886806797}
